Time,tp,tp_unit
202507122200,0.002058,m
202507122205,0.00206,m
202507122210,0.002061,m
202507122215,0.002063,m
202507122220,0.002065,m
202507122225,0.002066,m
202507122230,0.002068,m
202507122235,0.00207,m
202507122240,0.002072,m
202507122245,0.002073,m
202507122250,0.002075,m
202507122255,0.002077,m
202507122300,0.002079,m
202507122305,0.002079,m
202507122310,0.00208,m
202507122315,0.00208,m
202507122320,0.002081,m
202507122325,0.002081,m
202507122330,0.002082,m
202507122335,0.002082,m
202507122340,0.002083,m
202507122345,0.002083,m
202507122350,0.002084,m
202507122355,0.002084,m
202507130000,0.002085,m
202507130005,0.001912,m
202507130010,0.001739,m
202507130015,0.001566,m
202507130020,0.001392,m
202507130025,0.001219,m
202507130030,0.001046,m
202507130035,0.000873,m
202507130040,0.0007,m
202507130045,0.000527,m
202507130050,0.000354,m
202507130055,0.00018,m
202507130100,7e-06,m
202507130105,1.3e-05,m
202507130110,2e-05,m
202507130115,2.6e-05,m
202507130120,3.2e-05,m
202507130125,3.8e-05,m
202507130130,4.4e-05,m
202507130135,5e-05,m
202507130140,5.7e-05,m
202507130145,6.3e-05,m
202507130150,6.9e-05,m
202507130155,7.5e-05,m
202507130200,8.1e-05,m
202507130205,9.8e-05,m
202507130210,0.000115,m
202507130215,0.000132,m
202507130220,0.000149,m
202507130225,0.000166,m
202507130230,0.000182,m
202507130235,0.000199,m
202507130240,0.000216,m
202507130245,0.000233,m
202507130250,0.00025,m
202507130255,0.000267,m
202507130300,0.000284,m
202507130305,0.000304,m
202507130310,0.000325,m
202507130315,0.000346,m
202507130320,0.000367,m
202507130325,0.000387,m
202507130330,0.000408,m
202507130335,0.000429,m
202507130340,0.00045,m
202507130345,0.00047,m
202507130350,0.000491,m
202507130355,0.000512,m
202507130400,0.000533,m
202507130405,0.000548,m
202507130410,0.000564,m
202507130415,0.00058,m
202507130420,0.000596,m
202507130425,0.000612,m
202507130430,0.000628,m
202507130435,0.000644,m
202507130440,0.00066,m
202507130445,0.000676,m
202507130450,0.000692,m
202507130455,0.000708,m
202507130500,0.000724,m
202507130505,0.000738,m
202507130510,0.000752,m
202507130515,0.000767,m
202507130520,0.000781,m
202507130525,0.000795,m
202507130530,0.00081,m
202507130535,0.000824,m
202507130540,0.000839,m
202507130545,0.000853,m
202507130550,0.000867,m
202507130555,0.000882,m
202507130600,0.000896,m
202507130605,0.000916,m
202507130610,0.000937,m
202507130615,0.000958,m
202507130620,0.000978,m
202507130625,0.000999,m
202507130630,0.00102,m
202507130635,0.00104,m
202507130640,0.001061,m
202507130645,0.001081,m
202507130650,0.001102,m
202507130655,0.001123,m
202507130700,0.001143,m
202507130705,0.001359,m
202507130710,0.001576,m
202507130715,0.001792,m
202507130720,0.002008,m
202507130725,0.002225,m
202507130730,0.002441,m
202507130735,0.002657,m
202507130740,0.002873,m
202507130745,0.00309,m
202507130750,0.003306,m
202507130755,0.003522,m
202507130800,0.003738,m
202507130805,0.00451,m
202507130810,0.005281,m
202507130815,0.006052,m
202507130820,0.006824,m
202507130825,0.007595,m
202507130830,0.008366,m
202507130835,0.009138,m
202507130840,0.009909,m
202507130845,0.01068,m
202507130850,0.011452,m
202507130855,0.012223,m
202507130900,0.012994,m
202507130905,0.013301,m
202507130910,0.013608,m
202507130915,0.013915,m
202507130920,0.014222,m
202507130925,0.014529,m
202507130930,0.014835,m
202507130935,0.015142,m
202507130940,0.015449,m
202507130945,0.015756,m
202507130950,0.016063,m
202507130955,0.01637,m
202507131000,0.016677,m
202507131005,0.016709,m
202507131010,0.01674,m
202507131015,0.016772,m
202507131020,0.016804,m
202507131025,0.016836,m
202507131030,0.016868,m
202507131035,0.0169,m
202507131040,0.016931,m
202507131045,0.016963,m
202507131050,0.016995,m
202507131055,0.017027,m
202507131100,0.017059,m
202507131105,0.017069,m
202507131110,0.01708,m
202507131115,0.01709,m
202507131120,0.017101,m
202507131125,0.017111,m
202507131130,0.017122,m
202507131135,0.017132,m
202507131140,0.017143,m
202507131145,0.017153,m
202507131150,0.017164,m
202507131155,0.017174,m
202507131200,0.017185,m
202507131205,0.017253,m
202507131210,0.017321,m
202507131215,0.017389,m
202507131220,0.017457,m
202507131225,0.017525,m
202507131230,0.017593,m
202507131235,0.017662,m
202507131240,0.01773,m
202507131245,0.017798,m
202507131250,0.017866,m
202507131255,0.017934,m
202507131300,0.018002,m
202507131305,0.018192,m
202507131310,0.018382,m
202507131315,0.018572,m
202507131320,0.018761,m
202507131325,0.018951,m
202507131330,0.019141,m
202507131335,0.019331,m
202507131340,0.019521,m
202507131345,0.01971,m
202507131350,0.0199,m
202507131355,0.02009,m
202507131400,0.02028,m
202507131405,0.020327,m
202507131410,0.020375,m
202507131415,0.020422,m
202507131420,0.02047,m
202507131425,0.020518,m
202507131430,0.020565,m
202507131435,0.020613,m
202507131440,0.02066,m
202507131445,0.020708,m
202507131450,0.020755,m
202507131455,0.020803,m
202507131500,0.020851,m
202507131505,0.020864,m
202507131510,0.020877,m
202507131515,0.02089,m
202507131520,0.020903,m
202507131525,0.020917,m
202507131530,0.02093,m
202507131535,0.020943,m
202507131540,0.020956,m
202507131545,0.02097,m
202507131550,0.020983,m
202507131555,0.020996,m
202507131600,0.021009,m
202507131605,0.02102,m
202507131610,0.02103,m
202507131615,0.02104,m
202507131620,0.021051,m
202507131625,0.021061,m
202507131630,0.021071,m
202507131635,0.021082,m
202507131640,0.021092,m
202507131645,0.021103,m
202507131650,0.021113,m
202507131655,0.021123,m
202507131700,0.021134,m
202507131705,0.02116,m
202507131710,0.021187,m
202507131715,0.021214,m
202507131720,0.021241,m
202507131725,0.021267,m
202507131730,0.021294,m
202507131735,0.021321,m
202507131740,0.021348,m
202507131745,0.021375,m
202507131750,0.021401,m
202507131755,0.021428,m
202507131800,0.021455,m
202507131805,0.021737,m
202507131810,0.02202,m
202507131815,0.022303,m
202507131820,0.022585,m
202507131825,0.022868,m
202507131830,0.02315,m
202507131835,0.023433,m
202507131840,0.023715,m
202507131845,0.023998,m
202507131850,0.024281,m
202507131855,0.024563,m
202507131900,0.024846,m
202507131905,0.025194,m
202507131910,0.025543,m
202507131915,0.025892,m
202507131920,0.02624,m
202507131925,0.026589,m
202507131930,0.026938,m
202507131935,0.027286,m
